Status,Population,State,City
active,"171,782",IL,Aurora
active,"7,062",GA,Austell
active,"757,688",TX,Austin
active,"22,800",MN,Austin
active,"4,603",IN,Austin
active,"29,254",FL,Aventura
active,"4,812",PA,Avalon
active,"17,147",CA,Avenal
active,"17,086",OH,Avon
active,"12,238",IN,Avon
active,"6,578",CO,Avon
active,"23,996",OH,Avon Lake
active,"9,033",FL,Avon Park
active,"6,927",NM,Aztec
active,"11,347",TX,Azle
active,"81,299",AZ,Avondale
active,"5,005",NC,Ayden
active,"46,847",CA,Azusa
active,"12,760",NY,Babylon
active,"12,337",GA,Bainbridge
active,"9,413",OR,Baker City
active,"21,890",WA,Bainbridge Island
active,"13,360",LA,Baker
active,"321,078",CA,Bakersfield
active,"20,003",TX,Balch Springs
active,"4,308",KS,Baldwin City
active,"18,562",PA,Baldwin
active,"7,247",NY,Baldwinsville
active,"77,380",CA,Baldwin Park
active,"30,033",MO,Ballwin
active,"5,464",NY,Ballston Spa
active,"636,919",MD,Baltimore
active,"5,256",PA,Bangor
active,"31,756",ME,Bangor
active,"28,917",CA,Banning
active,"11,244",WI,Baraboo
active,"26,581",OH,Barberton
active,"11,242",KY,Bardstown
active,"5,998",GA,Barnesville
active,"4,471",AR,Barling
active,"46,184",MA,Barnstable Town
active,"4,783",SC,Barnwell
active,"8,837",VT,Barre
active,"4,354",IL,Barrington Hills
active,"6,939",NJ,Barrington
active,"24,596",CA,Barstow
active,"10,374",IL,Barrington
active,"35,914",OK,Bartlesville
active,"47,501",TN,Bartlett
active,"42,209",IL,Bartlett
active,"16,919",FL,Bartow
active,"6,160",IL,Bartonville
active,"8,378",TX,Bastrop
active,"11,814",LA,Bastrop
active,"15,202",NY,Batavia
active,"27,502",IL,Batavia
active,"5,580",SC,Batesburg-Leesville
active,"7,880",MS,Batesville
active,"6,434",IN,Batesville
active,"9,511",AR,Batesville
active,"5,432",NY,Bath
active,"8,885",ME,Bath
active,"223,689",LA,Baton Rouge
active,"52,053",MI,Battle Creek
active,"16,812",WA,Battle Ground
active,"4,552",GA,Baxley
active,"8,271",MN,Baxter
active,"17,891",TX,Bay City
active,"8,052",MS,Bay St. Louis
active,"33,874",MI,Bay City
active,"4,934",FL,Bay Harbor Islands
active,"8,043",AL,Bay Minette
active,"14,606",OH,Bay Village
active,"57,448",NJ,Bayonne
active,"70,330",TX,Baytown
active,"13,119",IL,Beach Park
active,"7,202",NY,Bayville
active,"11,108",OH,Beachwood
active,"5,859",IL,Beardstown
active,"10,835",NJ,Beachwood
active,"12,769",NE,Beatrice
active,"14,566",NY,Beacon
active,"11,755",SC,Beaufort
active,"110,553",TX,Beaumont
active,"15,133",WI,Beaver Dam
active,"4,371",PA,Beaver
active,"9,055",PA,Beaver Falls
active,"39,909",OH,Beavercreek
active,"32,663",CA,Beaumont
active,"91,757",OR,Beaverton
active,"16,832",WV,Beckley
active,"49,155",TX,Bedford
active,"6,312",VA,Bedford
active,"10,485",OH,Bedford Heights
active,"12,965",OH,Bedford
active,"13,486",IN,Bedford
active,"6,921",AR,Beebe
active,"14,316",IN,Beech Grove
active,"12,682",TX,Beeville
active,"5,691",MI,Belding
active,"9,826",MD,Bel Air
active,"6,797",KS,Bel Aire
active,"7,325",NM,Belen
active,"6,721",ME,Belfast
active,"44,692",CA,Bell Gardens
active,"8,185",MT,Belgrade
active,"16,388",AR,Bella Vista
active,"18,197",TX,Bellaire
active,"36,657",CA,Bell
active,"4,557",OH,Bellaire
active,"7,000",OH,Bellbrook
active,"4,979",SD,Belle Fourche
active,"16,681",FL,Belle Glade
active,"6,497",FL,Belle Isle
active,"6,648",MN,Belle Plaine
active,"12,665",OH,Bellefontaine
active,"10,241",MO,Bellefontaine Neighbors
active,"6,151",PA,Bellefonte
active,"4,467",FL,Belleview
active,"41,097",IL,Belleville
active,"15,031",WI,Bellevue
active,"123,771",WA,Bellevue
active,"7,980",PA,Bellevue
active,"73,033",CA,Bellflower
active,"5,852",KY,Bellevue
active,"49,699",NE,Bellevue
active,"7,831",OH,Bellevue
active,"78,905",WA,Bellingham
active,"11,176",NJ,Bellmawr
active,"5,908",NJ,Belmar
active,"9,579",TX,Bellmead
active,"18,973",IL,Bellwood
active,"4,415",TX,Bellville
active,"9,374",NC,Belmont
active,"24,776",CA,Belmont
active,"36,160",WI,Beloit
active,"6,528",OH,Belpre
active,"4,670",SC,Belton
active,"17,876",TX,Belton
active,"24,591",MO,Belton
active,"26,461",IL,Belvidere
active,"26,174",CA,Benicia
active,"13,541",MN,Bemidji
active,"22,957",TX,Benbrook
active,"77,181",OR,Bend
active,"9,012",SC,Bennettsville
active,"20,138",IL,Bensenville
active,"4,833",AZ,Benson
active,"10,814",MI,Benton Harbor
active,"6,957",IL,Benton
active,"35,526",AR,Bentonville
active,"29,452",AR,Benton
active,"4,367",KY,Benton
